model,epoch,average_loss,accuracy,correct_data,total_data
17,213,nan,0.0,0,9000
33,213,nan,0.0,0,9000
33,213,nan,0.0,0,9000
77,213,nan,0.0,0,9000
77,213,nan,0.0,0,9000
11,213,nan,0.0,0,9000
11,213,nan,0.0,0,9000
global,213,nan,0.0,0,9000
17,214,nan,0.0,0,9000
17,214,nan,0.0,0,9000
33,214,nan,0.0,0,9000
33,214,nan,0.0,0,9000
77,214,nan,0.0,0,9000
77,214,nan,0.0,0,9000
11,214,nan,0.0,0,9000
11,214,nan,0.0,0,9000
global,214,nan,0.0,0,9000
17,215,nan,0.0,0,9000
17,215,nan,0.0,0,9000
33,215,nan,0.0,0,9000
33,215,nan,0.0,0,9000
77,215,nan,0.0,0,9000
77,215,nan,0.0,0,9000
11,215,nan,0.0,0,9000
11,215,nan,0.0,0,9000
global,215,nan,0.0,0,9000
17,216,nan,0.0,0,9000
17,216,nan,0.0,0,9000
33,216,nan,0.0,0,9000
33,216,nan,0.0,0,9000
77,216,nan,0.0,0,9000
77,216,nan,0.0,0,9000
11,216,nan,0.0,0,9000
11,216,nan,0.0,0,9000
global,216,nan,0.0,0,9000
17,217,nan,0.0,0,9000
17,217,nan,0.0,0,9000
33,217,nan,0.0,0,9000
33,217,nan,0.0,0,9000
77,217,nan,0.0,0,9000
77,217,nan,0.0,0,9000
11,217,nan,0.0,0,9000
11,217,nan,0.0,0,9000
global,217,nan,0.0,0,9000
17,218,nan,0.0,0,9000
17,218,nan,0.0,0,9000
33,218,nan,0.0,0,9000
33,218,nan,0.0,0,9000
77,218,nan,0.0,0,9000
77,218,nan,0.0,0,9000
11,218,nan,0.0,0,9000
11,218,nan,0.0,0,9000
global,218,nan,0.0,0,9000
17,219,nan,0.0,0,9000
17,219,nan,0.0,0,9000
33,219,nan,0.0,0,9000
33,219,nan,0.0,0,9000
77,219,nan,0.0,0,9000
77,219,nan,0.0,0,9000
11,219,nan,0.0,0,9000
11,219,nan,0.0,0,9000
global,219,nan,0.0,0,9000
17,220,nan,0.0,0,9000
17,220,nan,0.0,0,9000
33,220,nan,0.0,0,9000
33,220,nan,0.0,0,9000
77,220,nan,0.0,0,9000
77,220,nan,0.0,0,9000
11,220,nan,0.0,0,9000
11,220,nan,0.0,0,9000
global,220,nan,0.0,0,9000
17,221,nan,0.0,0,9000
17,221,nan,0.0,0,9000
33,221,nan,0.0,0,9000
33,221,nan,0.0,0,9000
77,221,nan,0.0,0,9000
77,221,nan,0.0,0,9000
11,221,nan,0.0,0,9000
11,221,nan,0.0,0,9000
global,221,nan,0.0,0,9000
